fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2006,59:26.2,Defense,NULL,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,2,18,19646845,18
2013,59:26.2,Defense,ORG-2843,Zero value,NULL,$100 - <$500 million,1,5,0,NULL
2013,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,10,22,7503271.114,22
2002,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,1,309840,1
2008,59:26.2,Defense,ORG-2877,Less than $250 thousand,$250 thousand - <$1 million,Zero value,4,14,775892.75,14
2014,59:26.2,Defense,ORG-2777,Zero value,NULL,$1 - <$5 million,26,80,0,NULL
2010,59:26.2,Defense,ORG-2937,Less than $250 thousand,$250 thousand - <$1 million,Zero value,7,21,1173536.16,21
2004,59:26.2,Defense,ORG-2879,Less than $250 thousand,Zero value,$250 thousand - <$1 million,1,2,129600,2
2014,59:26.2,Defense,ORG-2940,Deobligation,Zero value,Zero value,103,116,-5765840.444,116
2006,59:26.2,Defense,ORG-2875,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,22,27,31537098.97,2025
2007,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,3,11,1328698.91,11
2006,59:26.2,Defense,ORG-2876,$25 - <$100 million,Less than $250 thousand,Less than $250 thousand,1,29,48502397,29
2010,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,Zero value,Deobligation,1,8,528308,8
2013,59:26.2,Defense,ORG-2787,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,3,3,1420282.75,4
2007,59:26.2,Defense,ORG-2774,$5 - <$25 million,Zero value,Zero value,1,1,7879211,1
2004,59:26.2,Defense,ORG-2875,$5 - <$25 million,Zero value,Zero value,10,32,76494850,32
2008,59:26.2,Defense,ORG-2941,Greater than $500 million,Zero value,Zero value,4,422,3802836824,422
2013,59:26.2,Defense,ORG-2835,Zero value,NULL,$5 - <$25 million,37,68,0,NULL
2014,59:26.2,Defense,ORG-4894,Zero value,Less than $250 thousand,Zero value,1,1,0,1
2008,59:26.2,Defense,ORG-2877,Deobligation,Deobligation,Deobligation,1921,3054,-323364453.3,3059
2005,59:26.2,Defense,ORG-2945,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,1,1,50000,1
2011,59:26.2,Defense,ORG-2877,Zero value,NULL,$25 - <$100 million,194,474,0,NULL
2012,59:26.2,Defense,ORG-2877,Deobligation,Deobligation,Zero value,3,5,-31653.57,5
2010,59:26.2,Defense,ORG-2841,$1 - <$5 million,$1 - <$5 million,Zero value,1,8,2065723,24
2007,59:26.2,Defense,ORG-2875,Zero value,NULL,$1 - <$5 million,47,130,0,NULL
2013,59:26.2,Defense,ORG-2791,Deobligation,Deobligation,Less than $250 thousand,1,1,-102.34,1
2012,59:26.2,Defense,ORG-2834,Zero value,NULL,$1 - <$5 million,12,23,0,NULL
2013,59:26.2,Defense,ORG-2940,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,10,77,16030491.89,77
2007,59:26.2,Defense,ORG-2839,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,1,9,11352459,9
2008,59:26.2,Defense,ORG-2875,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,33,88,4565234.1,88
2011,59:26.2,Defense,ORG-2835,Zero value,Less than $250 thousand,$250 thousand - <$1 million,3,5,0,5
2013,59:26.2,Defense,ORG-2872,$1 - <$5 million,Zero value,Zero value,19,74,37909942.78,74
2013,59:26.2,Defense,ORG-2871,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,120,232,7125574.466,232
2008,59:26.2,Defense,ORG-2784,Zero value,Zero value,Zero value,17,17,0,17
2012,59:26.2,Defense,ORG-2834,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,3,21,5193894,21
2012,59:26.2,Defense,ORG-2877,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,1,1,1745092.5,1
2014,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,17,66,7613518.05,66
2009,59:26.2,Defense,ORG-2939,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,2,5,630379,5
2006,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,8,35,4325728,35
2005,59:26.2,Defense,ORG-2936,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,3,6,22503651.51,6
2012,59:26.2,Defense,ORG-2787,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,68930,76668,1772115266,76711
2013,59:26.2,Defense,ORG-2791,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,2,3,911060,3
2007,59:26.2,Defense,ORG-2842,Deobligation,Deobligation,Deobligation,3,3,-21746,3
2008,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$1 - <$5 million,Zero value,7,38,4791472.87,38
2008,59:26.2,Defense,ORG-2835,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,7,53,83055947,53
2010,59:26.2,Defense,ORG-2834,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,2,10,153266.3,13
2001,59:26.2,Defense,ORG-2944,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,2,2,426985,2
2004,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,1,1,25000,1
2008,59:26.2,Defense,NULL,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,102,226,54651005.19,226
2011,59:26.2,Defense,ORG-2774,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,5,9,2733325.91,9
2012,59:26.2,Defense,ORG-2937,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,4,29,32939097.57,29
2012,59:26.2,Defense,ORG-2839,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,1,3,674106.15,3
2012,59:26.2,Defense,ORG-2875,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,1,8,4217485.01,8
2010,59:26.2,Defense,NULL,Less than $250 thousand,Zero value,Zero value,467,924,30758764.52,924
2012,59:26.2,Defense,ORG-2943,Zero value,Deobligation,Deobligation,12,16,0,17
2007,59:26.2,Defense,ORG-2943,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,2,2,37067.48,2
2011,59:26.2,Defense,ORG-4404,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,32,60,14104889.17,60
2014,59:26.2,Defense,ORG-2825,$1 - <$5 million,$5 - <$25 million,Deobligation,2,27,6795321.966,34
2013,59:26.2,Defense,ORG-2941,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,1,11,53442702.75,26
2008,59:26.2,Defense,ORG-2936,Zero value,$250 thousand - <$1 million,Zero value,1,2,0,2
2009,59:26.2,Defense,ORG-2880,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,2,21,16260378.4,21
2006,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,Greater than $500 million,3,3,300000,3
2012,59:26.2,Defense,ORG-2936,Zero value,Zero value,Deobligation,1,9,0,9
2010,59:26.2,Defense,ORG-2845,$5 - <$25 million,$1 - <$5 million,Deobligation,1,5,5163168.43,5
2013,59:26.2,Defense,ORG-2790,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,242,257,500678840.1,257
2010,59:26.2,Defense,ORG-2945,$5 - <$25 million,Zero value,Zero value,5,52,34241798.69,52
2011,59:26.2,Defense,ORG-2775,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,2,17,1231331.46,17
2005,59:26.2,Defense,ORG-2936,$1 - <$5 million,Zero value,$5 - <$25 million,1,1,4343300,2
2007,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,6,26,3107397.7,35
2009,59:26.2,Defense,NULL,Zero value,Zero value,Less than $250 thousand,11,16,0,16
2004,59:26.2,Defense,ORG-2873,Zero value,NULL,Greater than $500 million,5,5,0,NULL
2011,59:26.2,Defense,ORG-2941,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,0,1
2002,59:26.2,Defense,ORG-2844,Less than $250 thousand,Zero value,Zero value,367,403,26763750,403
2008,59:26.2,Defense,ORG-2943,Zero value,NULL,Greater than $500 million,11,182,0,NULL
2010,59:26.2,Defense,ORG-2834,$25 - <$100 million,Zero value,Zero value,3,63,99700188.34,254
2011,59:26.2,Defense,ORG-3960,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,2,3,327500,3
2002,59:26.2,Defense,ORG-2848,Deobligation,Zero value,Zero value,90,138,-2138004,138
2012,59:26.2,Defense,ORG-2878,Deobligation,Zero value,Zero value,7,10,-732006.88,10
2007,59:26.2,Defense,ORG-2882,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,7,11,1085797,11
2008,59:26.2,Defense,ORG-2877,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,2,3,292681,3
2003,59:26.2,Defense,ORG-2869,Zero value,Zero value,Zero value,63,127,0,127
2007,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,250,636,483559171.7,7925
2006,59:26.2,Defense,ORG-2882,Deobligation,Less than $250 thousand,Less than $250 thousand,2,2,-32431,2
2012,59:26.2,Defense,ORG-2943,$5 - <$25 million,$5 - <$25 million,Deobligation,8,34,59981418.01,35
2007,59:26.2,Defense,ORG-2869,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,4,7,0,7
2011,59:26.2,Defense,ORG-2773,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,68,266,33110660.84,266
2009,59:26.2,Defense,ORG-2942,Greater than $500 million,Greater than $500 million,Greater than $500 million,1,11,747051622,11
2006,59:26.2,Defense,NULL,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,90,93,1768815.97,94
2006,59:26.2,Defense,ORG-2834,Zero value,NULL,Less than $250 thousand,8,12,0,NULL
2002,59:26.2,Defense,ORG-2944,Less than $250 thousand,Zero value,Zero value,5623,6092,457975874,6131
2005,59:26.2,Defense,NULL,Zero value,NULL,$100 - <$500 million,1,2,0,NULL
2008,59:26.2,Defense,ORG-2786,Zero value,NULL,$25 - <$100 million,90,90,0,NULL
2009,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,1,1,330730,2
2014,59:26.2,Defense,ORG-2945,Less than $250 thousand,$1 - <$5 million,Zero value,1,3,80000,3
2014,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,1,1,445437.5313,1
2007,59:26.2,Defense,ORG-2844,Zero value,Zero value,Zero value,539,791,0,791
2011,59:26.2,Defense,ORG-2940,Zero value,Deobligation,Deobligation,8,14,0,14
2010,59:26.2,Defense,ORG-2839,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,1,4,464692.28,4
2008,59:26.2,Defense,ORG-2777,Zero value,NULL,$25 - <$100 million,3,3,0,NULL
2009,59:26.2,Defense,ORG-2941,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,3,5,81236.2,5
2014,59:26.2,Defense,ORG-4383,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,3,980063,3
2009,59:26.2,Defense,ORG-2774,Deobligation,Deobligation,Deobligation,99,122,-4975207.85,122
2012,59:26.2,Defense,ORG-2936,Zero value,NULL,Less than $250 thousand,18,54,0,NULL
2007,59:26.2,Defense,ORG-2775,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,1,1,212000,1
2012,59:26.2,Defense,ORG-2877,Less than $250 thousand,Zero value,Deobligation,1,3,10645,3
2012,59:26.2,Defense,ORG-2939,Deobligation,$1 - <$5 million,Deobligation,1,2,-152162.05,2
2013,59:26.2,Defense,ORG-2841,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,2,11,3315067,11
2010,59:26.2,Defense,ORG-2836,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,2,8,439735.71,8
2012,59:26.2,Defense,ORG-2843,Zero value,Less than $250 thousand,Less than $250 thousand,12,18,0,18
2010,59:26.2,Defense,ORG-3960,$25 - <$100 million,$250 thousand - <$1 million,Deobligation,1,9,31204491.54,9
2014,59:26.2,Defense,ORG-2942,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,1,2,148015853,4
2010,59:26.2,Defense,ORG-2835,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,60,322,577721516.5,2697
2012,59:26.2,Defense,ORG-2825,Zero value,Zero value,Deobligation,3,7,0,7
2000,59:26.2,Defense,ORG-2942,$1 - <$5 million,Zero value,Zero value,31,64,75916608,72
2013,59:26.2,Defense,ORG-2842,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,58,119,24422077.09,161
2002,59:26.2,Defense,ORG-2825,Zero value,NULL,$100 - <$500 million,1,1,0,NULL
2010,59:26.2,Defense,ORG-2774,Less than $250 thousand,Zero value,Zero value,5,15,368057.72,15
2005,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,Zero value,Zero value,3054,5486,1458656758,8003
2008,59:26.2,Defense,ORG-2937,$1 - <$5 million,$1 - <$5 million,Deobligation,3,7,4060997.7,7
2014,59:26.2,Defense,ORG-2834,Deobligation,Less than $250 thousand,Less than $250 thousand,4,6,-2827708.7,6
2006,59:26.2,Defense,ORG-2877,Zero value,Zero value,Zero value,694,1140,0,1154
2009,59:26.2,Defense,ORG-2842,$250 thousand - <$1 million,Zero value,Zero value,5,15,2337910.66,15
2009,59:26.2,Defense,ORG-2877,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,11,24,36915808.78,25
2011,59:26.2,Defense,ORG-4955,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,5,9,706393.4,9
2009,59:26.2,Defense,ORG-2836,Zero value,Less than $250 thousand,Zero value,5,9,0,9
2005,59:26.2,Defense,ORG-2777,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,7,10,214595.41,10
2014,59:26.2,Defense,ORG-2877,Zero value,$1 - <$5 million,$5 - <$25 million,5,5,0,5
2013,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,1,2,311909,2
2009,59:26.2,Defense,ORG-2940,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,2,6,425493.56,6
2007,59:26.2,Defense,ORG-2834,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,16,75,39558435.81,91
2013,59:26.2,Defense,ORG-2843,Less than $250 thousand,Deobligation,Deobligation,41,161,3104338.569,161
2013,59:26.2,Defense,ORG-2872,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,26,58156748,26
2008,59:26.2,Defense,ORG-2877,Zero value,Zero value,$5 - <$25 million,2,4,0,4
2014,59:26.2,Defense,ORG-2869,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,7,117530.1907,7
2012,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,28,55,13754024.18,55
2014,59:26.2,Defense,ORG-2784,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,596,757,261284699.6,757
2012,59:26.2,Defense,ORG-2872,Zero value,NULL,$100 - <$500 million,54,76,0,NULL
2009,59:26.2,Defense,ORG-2943,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,4,24,29023616.78,24
2003,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,Zero value,Zero value,541,847,247779685,964
2014,59:26.2,Defense,ORG-2939,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,1,9,4657204.203,9
2010,59:26.2,Defense,ORG-2937,Zero value,Zero value,$250 thousand - <$1 million,1,1,0,1
2011,59:26.2,Defense,ORG-2877,$5 - <$25 million,$25 - <$100 million,$5 - <$25 million,2,25,43129809.27,32
2007,59:26.2,Defense,ORG-2835,Zero value,Zero value,Zero value,1062,1548,0,1549
2004,59:26.2,Defense,ORG-2876,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,3,3,0,3
2008,59:26.2,Defense,ORG-2945,Zero value,NULL,$5 - <$25 million,2,2,0,NULL
2011,59:26.2,Defense,ORG-2791,Zero value,NULL,Zero value,2,2,0,NULL
2006,59:26.2,Defense,ORG-2783,Zero value,NULL,$250 thousand - <$1 million,52,52,0,NULL
2014,59:26.2,Defense,ORG-2940,Zero value,Zero value,Zero value,3189,4290,0,4291
2013,59:26.2,Defense,ORG-2941,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,10,106,18944528.48,179
2009,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,82,332,36956174.01,332
2010,59:26.2,Defense,ORG-2834,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,8,59,16304800.12,59
2008,59:26.2,Defense,ORG-2876,$250 thousand - <$1 million,$1 - <$5 million,Zero value,2,11,1465283.3,11
2006,59:26.2,Defense,ORG-2937,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,3,9,5431261,9
2012,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,1,1,397338.55,107
2012,59:26.2,Defense,ORG-2834,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,1,88572.35,1
2007,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,7,41,3405965.6,49
2009,59:26.2,Defense,ORG-2835,Zero value,Less than $250 thousand,Zero value,4,7,0,7
2004,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,2,11,3337554,11
2012,59:26.2,Defense,ORG-2941,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,4,4837089,4
2012,59:26.2,Defense,ORG-2882,Deobligation,Deobligation,Deobligation,610,710,-35118809.05,716
2004,59:26.2,Defense,NULL,Zero value,Less than $250 thousand,$1 - <$5 million,4,5,0,5
2005,59:26.2,Defense,ORG-2839,Zero value,NULL,Zero value,24,27,0,NULL
2010,59:26.2,Defense,ORG-2845,Deobligation,Zero value,Zero value,28,28,-523925.85,28
2010,59:26.2,Defense,ORG-2841,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,1,5,1227000,5
2008,59:26.2,Defense,ORG-2835,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,1,3,20120426.03,3
2008,59:26.2,Defense,ORG-2786,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,1,1,47308850,1
2012,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,Deobligation,Deobligation,2,14,1126066.73,14
2012,59:26.2,Defense,ORG-2843,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,1,20,37289405.26,20
2013,59:26.2,Defense,ORG-2775,Zero value,NULL,Zero value,232,439,0,NULL
2014,59:26.2,Defense,ORG-2940,Zero value,Zero value,$1 - <$5 million,3,6,0,7
2002,59:26.2,Defense,ORG-2936,Deobligation,Zero value,Zero value,178,226,-101498776,229
2014,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,8,27,76832519.89,27
2010,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,49,93,21354329.29,93
2010,59:26.2,Defense,ORG-2836,Deobligation,Zero value,Deobligation,1,1,-18183.62,1
2014,59:26.2,Defense,ORG-2941,Zero value,NULL,Deobligation,21,48,0,NULL
2011,59:26.2,Defense,ORG-2872,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,30,251,59544393.57,262
2012,59:26.2,Defense,ORG-2942,$5 - <$25 million,Zero value,Zero value,2,10,14396662.2,11
2014,59:26.2,Defense,ORG-2834,Zero value,$250 thousand - <$1 million,$1 - <$5 million,1,1,0,1
2014,59:26.2,Defense,ORG-2781,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,1,1,45638168,1
2008,59:26.2,Defense,ORG-2825,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,10,61,30315270.52,79
2009,59:26.2,Defense,ORG-2872,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,2,8406,2
2011,59:26.2,Defense,ORG-2837,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,2770,3714,117731191.2,3793
2014,59:26.2,Defense,ORG-4955,Zero value,Zero value,Zero value,36,55,0,55
2006,59:26.2,Defense,ORG-2876,$1 - <$5 million,$5 - <$25 million,Zero value,1,5,2992455,5
2009,59:26.2,Defense,ORG-2882,$5 - <$25 million,$250 thousand - <$1 million,$5 - <$25 million,1,2,14090662.12,2
2009,59:26.2,Defense,ORG-2825,Zero value,NULL,$25 - <$100 million,90,177,0,NULL
2013,59:26.2,Defense,ORG-3960,Zero value,Deobligation,Deobligation,3,5,0,5
2007,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,1,5,620137,5
2011,59:26.2,Defense,ORG-2943,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,1,6,4750270.26,6
2006,59:26.2,Defense,ORG-2882,Zero value,$1 - <$5 million,$1 - <$5 million,4,4,0,5
2009,59:26.2,Defense,ORG-2939,Zero value,$1 - <$5 million,$1 - <$5 million,1,1,0,1
2011,59:26.2,Defense,ORG-2941,Deobligation,$1 - <$5 million,Zero value,5,20,-1046295.46,31
2002,59:26.2,Defense,ORG-2863,Zero value,NULL,$250 thousand - <$1 million,14,14,0,NULL
2004,59:26.2,Defense,NULL,Deobligation,Deobligation,Deobligation,4,10,-1517313.56,10
2007,59:26.2,Defense,ORG-2773,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,3,37,6712631.92,37
2002,59:26.2,Defense,ORG-2875,Zero value,NULL,$5 - <$25 million,7,7,0,NULL
2013,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,Zero value,114,235,5643574.254,235
2011,59:26.2,Defense,NULL,Zero value,Less than $250 thousand,Less than $250 thousand,148,175,0,175
2014,59:26.2,Defense,ORG-2791,Deobligation,Less than $250 thousand,Less than $250 thousand,2,2,-46716.2,2
2012,59:26.2,Defense,ORG-4774,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,223,472,453473672.9,472
2009,59:26.2,Defense,ORG-2834,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,5,58,89894689.71,66
2014,59:26.2,Defense,ORG-2944,$5 - <$25 million,Deobligation,Deobligation,2,67,24995318,67
2004,59:26.2,Defense,ORG-2775,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,950000,1
2008,59:26.2,Defense,ORG-2835,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,4,42,43848999,54
2007,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,Zero value,37,63,1837681.7,63
